sample,total_SRBD_count
X60909145,301
X61008344,291496
X61106264,508
X61106369,20206
X61106461,2202
X61205146,38
X61307505,125981
X61307527,55847
X61402838,1239
X61402948,182355
X61403799,115465
X61403951,166542
X61404053,117204
X61404278,383
X61404308,78931
X61404345,33359
X61404348,342823
X61404349,2849
X61404647,751
X61404776,130121
X61404806,23602
X61404944,1094
X61404964,9525
X61404967,6138
X61405008,3360
X61405031,21793
X61405101,25354
X61405197,98546
X61405295,56215
X61405373,167190
X61405493,136632
X61405756,173524
X61406109,198309
X61406209,158485
X61406354,47685
X61406740,222868
X61406797,43863
X61406819,204942
X61406842,12624
X61406843,181500
X61406987,135579
X61407103,329649
X61407149,81563
X61407171,139
X61407213,430
X61407257,166208
X61407258,2196
X61407339,83693
X61407350,225974
X61407669,223839
X61407676,202863
X61407788,102
X61408017,185
X61409032,22533
X61409481,8
X61409772,114015
X61409814,29850
X61409819,459
X61409820,32179
X61409821,268880
X61409822,3059
X61409823,23993
X61409825,139767
X61409841,323
X61500245,20797
X61500250,87700
X61500257,119082
X61500335,190563
X61500338,202240
X61500402,317
X61500408,130292
X61500443,966
X61500446,306390
X61500449,190
X61500453,25570
X61500455,341549
X61500458,192
X61500472,199932
X61500487,166564
X61500491,2374
X61500504,66542
X61500520,100718
X61500524,56008
X61500527,34652
X61500585,107975
X61500589,288628
X61500641,228671
X61500643,184070
X61500644,180488
X61500648,10264
X61500650,218019
X61500654,182664
X61500660,155692
X61500661,14976
X61500666,343585
X61500668,105306
X61500671,106782
X61500746,134332
X61501897,309068
X61501909,477
X61501971,64806
X61501986,1072
X61502949,88286
X61503547,214613
X61503667,126601
X61503680,210828
X61503805,3116
X61503961,3280
X61504477,184181
X61505075,145681
X61505407,92923
X61505474,76575
X61505589,77972
X61505664,211807
X61506297,334
X61506489,449
X61508862,0
X61508870,298939
X61508871,199438
X61508900,206840
X61508902,346912
X61508906,0
X61509058,270405
X61404352,1934
X61405052,1470
X61405547,86674
X61406415,43562
X61406605,1833
X61406968,8758
X61407549,21254
X61408948,13743
X61502455,12217
X61502522,66593
X61503363,28653
X61506347,14455
X61506487,30628
X61506706,19058
X61506710,21300
X61506730,1107
X61506737,37490
X61506739,129871
X61506747,1
X61506757,12881
X61506923,87515
X61602315,32148
X61602942,72718
X61603248,116312
X61603722,281183
X61603801,1051
X61603808,14988
X61604740,134542
X61604908,135158
X61605073,180547
X61605741,46260
X61605971,109604
X61606302,13042
X61606335,85104
X61606336,2283
X61606342,7405
X61606502,755
X61606742,139324
X61607139,150783
X61607245,652
X61607392,106152
X61607879,1818
X61607885,17538
X61607890,46427
X61607984,129306
X61608015,51749
X61608057,110759
X61608204,434
X61608384,633
X61608579,103150
X61608624,145785
X61609080,31710
X61609149,70599
X61609873,8040
X61700583,145965
X61700624,148787
X61700640,206127
X61700666,1725
X61700747,2744
X61701438,104458
X61701518,30990
X61701599,45802
X61702489,95834
X61704026,19795
X61704380,158510
X61704849,26419
X61705085,44085
X61705287,3936
X61705789,1899
X61707632,165050
